Connections;
Exits;ABANDONED SHIP (24.66);ABANDONED SHIP (24.66);ABANDONED SHIP (24.66);ABANDONED SHIP (24.66);ABANDONED SHIP (24.66);ABANDONED SHIP (24.66);
1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 
12 12 12 12 12 12 12 12 12 12 12 12 12 
13 12 12 12 12 12 12 12 12 12 12 12 12 
12 12 1 1 1 1 1 1 1 1 1 12 13 
13 12 1 1 1 1 1 1 1 1 1 12 12 
12 12 1 1 1 1 1 1 1 1 1 12 12 
12 12 1 1 1 1 1 1 1 1 1 12 12 
4 4 1 13 1 1 13 1 1 13 1 12 12 
4 4 4 12 12 12 12 12 12 12 12 12 12 
4 4 4 12 12 12 12 12 12 12 12 12 12 
