Connections;
Exits;MT. PYRE (24.16);MT. PYRE (24.18);MT. PYRE (24.18);MT. PYRE (24.18);MT. PYRE (24.16);MT. PYRE (24.16);
1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 12 1 1 1 1 1 1 1 12 1 1 
1 12 12 12 12 1 1 1 12 12 12 12 1 
1 12 12 12 1 1 1 1 1 12 12 12 1 
12 12 12 12 12 12 12 12 12 12 12 12 12 
1 12 12 12 12 12 1 12 12 12 12 12 1 
1 12 12 1 1 1 1 1 1 1 12 12 1 
12 12 12 12 12 12 12 12 12 12 12 12 12 
1 1 1 1 1 1 1 1 1 1 12 12 12 
1 1 1 1 1 1 1 1 1 1 12 12 12 
12 12 12 12 12 12 12 1 1 12 12 12 12 
12 12 12 1 1 12 12 1 1 12 12 1 1 
12 12 12 1 1 12 12 1 1 12 12 1 1 
